player,salary,PTS,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Scoring Average (Actual)-AVG,SG: Putting-AVERAGE,SG: Total-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,SG Magnitude,SG Mag Multiply,Birdie or Better Conversion Percentage-%,One-Putt Percentage-%,Greens in Regulation Percentage-%,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie Average-AVG,Total Driving-ACCURACY RANK,Sand Save Percentage-%,Scrambling-%
Jhonattan Vegas,6700,58.12,70.7,71,70.56,-0.528,-0.249,0.279,-0.392,-0.166,0.837,-0.2082,-20.82,29.77,35.03,68.06,21.6,1.27,3.75,92,39.68,56.04
Matt Jones,6700,57.7,70.03,70.27,70.4,-0.154,0.08,0.234,-0.188,0.147,0.275,-0.00885,-0.885,29.63,38.56,66.33,20.78,1.26,3.6,148,58.24,60.07
Si Woo Kim,6700,42.29,71.75,72.29,71.63,-0.058,-0.661,-0.603,-0.583,0.29,-0.31,-0.22455,-22.455,28.92,39.86,62.08,18.89,1.04,3.38,190,51.16,58.24
C.T. Pan,6700,39.04,71.64,71,71.47,-1.121,-1.445,-0.324,-0.111,0.139,-0.352,-0.6563,-65.63,23.06,34.63,66.67,16.48,0.94,2.93,153,47.46,59.44
Brian Stuard,6600,60.31,70.44,70.15,70.21,0.178,0.388,0.21,-0.075,0.497,-0.212,0.1731,17.31,30.29,41.52,64.13,20.57,1.37,3.65,5,54.08,63.59
Tom Hoge,6600,57.32,70.17,69.25,70.18,0.318,0.985,0.667,0.616,-0.084,0.135,0.3857,38.57,31.47,42.17,65.53,21.72,1.51,3.86,81,48.65,65.57
Matthew NeSmith,6600,62.77,70,69.3,69.7,0.426,0.744,0.318,0.429,-0.114,0.003,0.32415,32.415,30.13,38.33,70.78,22.11,1.64,3.86,51,48.15,61.98
Sam Burns,6600,52.14,70.91,72.5,71.32,0.535,-0.181,-0.716,-0.384,-0.764,0.433,-0.00465,-0.465,31.51,39.22,63.07,20.75,1.11,3.5,204,32.26,53.98
Jazz Janewattananond,6600,45,72.5,70.75,71.7,0.062,-1.848,-1.909,-0.879,-0.446,-0.584,-0.60795,-60.795,29.39,38.33,63.33,19.72,1.03,3.55,39,47.62,51.52
Adam Schenk,6500,54.22,69.91,69.56,69.9,0.211,0.425,0.214,-0.009,-0.053,0.276,0.1666,16.66,28.5,39.67,68.44,20.67,1.58,3.64,120,50,67.96
Lanto Griffin,6500,66.65,70.34,69.77,70.1,0.431,0.689,0.258,0.063,0.09,0.105,0.30055,30.055,32.39,42.22,65.28,22.22,1.52,3.88,150,58.26,66.13
