player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
Ryan Moore,30,.016,.310,20,30,59.26,32,54,+8.00,30,100.00,2,2,30,"2' 6""",27.833,11,68,30,"9' 3""",361.667,39,68,30,+.625,16,+10.00,30,"9' 7""",307.417,32,68,30,"7' 9""","1,057.333",137,68,30,50.00,4,8,30,79.41,27,34,30,60.61,20,33,30,31.25,5,16,30,92.31,12,13,30,"12' 10""",217.750,17,68,30,"7' 5""",843.917,114,30,"6' 7""",4.325,55,68,30,+.382,55,+21.00,30,50.00,10,20,30,61.82,34,55,30,"9' 6""",246.833,26,68,30,+.394,33,+13.00,30,57.14,32,56,30,56.25,9,16,30,"7' 10""",477.917,61,68,30,+.375,16,+6.00,30,"3' 6""",114.833,33,68,30,58.62,17,29,30,-.077,13,-1.00,30,61.67,111,180,30,66.67,4,6
Brendon Todd,50,.015,.582,39,50,69.23,54,78,+7.00,50,60.00,3,5,50,"4' 4""",96.083,22,1,50,"8' 5""",735.083,87,1,50,+.615,39,+24.00,50,"9' 1""",489.500,54,1,50,"7' 3""","1,853.500",255,1,50,47.06,8,17,50,89.83,53,59,50,68.14,77,113,50,43.59,17,39,50,96.00,24,25,50,"9' 11""",368.250,37,1,50,"8' 4""","1,976.667",238,50,"5' 10""",6.394,92,1,50,+.262,103,+27.00,50,78.79,26,33,50,72.82,75,103,50,"8' 11""",525.583,59,1,50,+.301,113,+34.00,50,64.76,68,105,50,60.78,31,51,50,"6' 11""",720.917,104,1,50,+.431,51,+22.00,50,"4' 4""",238.750,55,1,50,73.02,46,63,50,-.080,25,-2.00,50,70.03,215,307,50,70.00,7,10
Sungjae Im,58,.010,.427,43,58,61.54,64,104,+19.00,58,50.00,3,6,58,"2' 7""",64.083,25,31,58,"7' 6""",732.083,98,31,58,+.679,28,+19.00,58,"7' 11""",517.250,65,31,58,"6' 8""","1,750.917",262,31,58,46.67,7,15,58,82.35,56,68,58,61.46,59,96,58,35.71,10,28,58,92.86,26,28,58,"10' 6""",241.333,23,31,58,"8' 5""","1,954.583",232,58,"5' 11""",5.250,74,31,58,+.315,108,+34.00,58,66.67,32,48,58,68.52,74,108,58,"7' 11""",421.333,53,31,58,+.375,96,+36.00,58,61.25,49,80,58,53.33,24,45,58,"7' 1""",875.083,123,31,58,+.511,45,+23.00,58,"3' 5""",213.167,63,31,58,65.52,38,58,58,-.036,28,-1.00,58,64.53,211,327,58,75.00,6,8
Doug Ghim,32,-.003,-.055,20,32,52.83,28,53,+23.00,32,37.50,3,8,32,"2' 1""",18.833,9,147,32,"8' 9""",368.917,42,147,32,+1.150,20,+23.00,32,"8' 11""",286.583,32,147,32,"7' 10""",896.083,115,147,32,30.77,4,13,32,63.64,14,22,32,51.43,36,70,32,20.00,4,20,32,87.50,14,16,32,"10' 2""",70.917,7,147,32,"8' 11""",984.333,110,32,"6' 11""",2.661,32,147,32,+.196,46,+9.00,32,83.33,10,12,32,78.26,36,46,32,"10' 0""",330.417,33,147,32,+.543,70,+38.00,32,61.40,35,57,32,35.29,12,34,32,"7' 0""",356.000,51,147,32,+.647,34,+22.00,32,"5' 9""",138.750,24,147,32,55.32,26,47,32,-.063,16,-1.00,32,57.51,111,193,32,.00,0,1
J.B. Holmes,24,-.014,-.275,19,24,44.90,22,49,+14.00,24,.00,0,3,24,"3' 6""",52.083,15,131,24,"9' 5""",450.917,48,131,24,+.704,27,+19.00,24,"9' 2""",237.917,26,131,24,"7' 11""","1,041.917",131,131,24,50.00,3,6,24,81.82,27,33,24,58.33,35,60,24,33.33,9,27,24,93.75,15,16,24,"14' 8""",381.750,26,131,24,"9' 6""","1,156.167",122,24,"7' 2""",3.612,42,131,24,+.345,55,+19.00,24,55.56,10,18,24,63.64,35,55,24,"10' 1""",222.500,22,131,24,+.417,60,+25.00,24,57.69,30,52,24,50.00,9,18,24,"6' 4""",316.167,50,131,24,+.500,18,+9.00,24,"3' 8""",121.500,33,131,24,40.74,11,27,24,-.063,16,-1.00,24,58.24,99,170,24,33.33,2,6
Brandon Hagy,36,-.016,-.421,26,36,55.56,35,63,+14.00,36,50.00,1,2,36,"4' 0""",40.250,10,181,36,"9' 11""",517.167,52,181,36,+.900,40,+36.00,36,"10' 6""",471.250,45,181,36,"9' 6""","1,409.667",149,181,36,46.67,7,15,36,88.89,24,27,36,57.75,41,71,36,22.50,9,40,36,66.67,16,24,36,"17' 2""",394.833,23,181,36,"9' 4""","1,136.167",122,36,"9' 1""",4.572,42,181,36,+.333,60,+20.00,36,68.00,17,25,36,65.00,39,60,36,"11' 8""",455.000,39,181,36,+.437,71,+31.00,36,48.65,36,74,36,41.67,10,24,36,"7' 7""",477.750,63,181,36,+.625,24,+15.00,36,"3' 5""",82.083,24,181,36,60.98,25,41,36,+.167,24,+4.00,36,55.66,118,212,36,42.86,3,7
Brian Gay,47,-.020,-.671,34,47,40.45,36,89,+43.00,47,33.33,1,3,47,"2' 8""",55.833,21,115,47,"7' 10""",561.750,72,115,47,+.848,46,+39.00,47,"10' 1""",647.583,64,115,47,"7' 8""","1,776.417",231,115,47,40.00,8,20,47,89.19,33,37,47,62.26,66,106,47,32.61,15,46,47,87.50,21,24,47,"13' 11""",445.417,32,115,47,"8' 3""","1,678.667",203,47,"6' 11""",6.135,74,115,47,+.381,105,+40.00,47,47.37,18,38,47,61.90,65,105,47,"9' 9""",459.750,47,115,47,+.434,106,+46.00,47,60.40,61,101,47,50.00,19,38,47,"6' 8""",738.583,111,115,47,+.553,38,+21.00,47,"3' 3""",132.667,41,115,47,41.79,28,67,47,E,24,E,47,58.86,176,299,47,14.29,1,7
Martin Laird,39,-.023,-.663,29,39,32.20,19,59,+26.00,39,16.67,1,6,39,"2' 3""",41.167,18,88,39,"7' 5""",408.500,55,88,39,+1.053,19,+20.00,39,"11' 2""",492.500,44,88,39,"7' 8""","1,307.417",171,88,39,31.25,5,16,39,77.78,28,36,39,69.33,52,75,39,26.32,5,19,39,88.89,16,18,39,"11' 10""",237.417,20,88,39,"8' 7""","1,257.500",146,39,"6' 9""",4.383,54,88,39,+.397,73,+29.00,39,34.78,8,23,39,60.27,44,73,39,"10' 5""",354.417,34,88,39,+.307,75,+23.00,39,61.64,45,73,39,53.33,16,30,39,"7' 2""",564.833,79,88,39,+.500,30,+15.00,39,"4' 0""",150.750,38,88,39,31.71,13,41,39,-.111,18,-2.00,39,60.87,126,207,39,14.29,1,7
Scottie Scheffler,52,-.023,-.934,40,52,52.17,48,92,+29.00,52,75.00,3,4,52,"3' 2""",72.500,23,58,52,"7' 6""",570.500,76,58,52,+.750,24,+18.00,52,"9' 11""",623.917,63,58,52,"7' 5""","1,708.917",231,58,52,47.83,11,23,52,90.24,37,41,52,58.33,56,96,52,29.17,7,24,52,86.67,26,30,52,"12' 10""",332.833,26,58,52,"9' 0""","1,834.500",204,52,"6' 5""",5.304,69,58,52,+.343,105,+36.00,52,52.50,21,40,52,64.76,68,105,52,"9' 9""",604.917,62,58,52,+.438,96,+42.00,52,68.89,62,90,52,41.67,20,48,52,"6' 2""",662.500,107,58,52,+.646,48,+31.00,52,"3' 0""",108.667,36,58,52,50.70,36,71,52,+.033,30,+1.00,52,62.50,180,288,52,30.00,3,10
Harry Higgs,57,-.025,-1.075,43,57,46.73,50,107,+38.00,57,45.45,5,11,57,"2' 2""",39.500,18,39,57,"6' 9""",549.333,81,39,57,+.714,35,+25.00,57,"9' 1""",654.917,72,39,57,"7' 1""","1,863.417",263,39,57,45.45,10,22,57,83.33,55,66,57,71.07,86,121,57,42.86,15,35,57,92.00,23,25,57,"12' 2""",377.667,31,39,57,"8' 0""","1,879.250",234,57,"6' 9""",7.436,92,39,57,+.349,109,+38.00,57,46.94,23,49,57,66.06,72,109,57,"8' 9""",508.167,58,39,57,+.380,121,+46.00,57,66.12,80,121,57,46.51,20,43,57,"6' 8""",771.917,116,39,57,+.605,43,+26.00,57,"3' 7""",205.667,58,39,57,42.25,30,71,57,-.080,25,-2.00,57,64.04,219,342,57,.00,0,6
Danny Willett,20,-.026,-.318,12,20,58.54,24,41,+5.00,20,.00,0,1,20,"3' 4""",19.917,6,197,20,"7' 9""",279.667,36,197,20,+1.000,16,+16.00,20,"7' 3""",152.583,21,197,20,"6' 8""",576.000,86,197,20,25.00,1,4,20,92.86,13,14,20,54.55,18,33,20,25.00,4,16,20,100.00,6,6,20,"9' 3""",120.000,13,197,20,"9' 7""",718.833,75,20,"5' 5""",1.486,23,197,20,+.317,41,+13.00,20,66.67,10,15,20,65.85,27,41,20,"9' 5""",189.000,20,197,20,+.515,33,+17.00,20,53.57,15,28,20,60.00,6,10,20,"5' 11""",230.083,39,197,20,+.400,10,+4.00,20,"2' 8""",36.917,14,197,20,57.89,11,19,20,-.167,6,-1.00,20,54.74,75,137,20,33.33,2,6
Kyle Stanley,37,-.026,-.693,27,37,52.54,31,59,+13.00,37,66.67,2,3,37,"4' 10""",72.500,15,126,37,"6' 2""",259.500,42,126,37,+1.065,31,+33.00,37,"12' 10""",551.417,43,126,37,"8' 3""","1,292.667",157,126,37,66.67,8,12,37,56.52,13,23,37,51.79,29,56,37,12.90,4,31,37,73.91,17,23,37,"21' 0""",399.750,19,126,37,"10' 5""","1,364.833",131,37,"7' 2""",4.911,57,126,37,+.250,60,+15.00,37,45.83,11,24,37,73.33,44,60,37,"7' 10""",338.250,43,126,37,+.464,56,+26.00,37,59.46,44,74,37,62.16,23,37,37,"6' 2""",424.583,69,126,37,+.405,37,+15.00,37,"5' 0""",130.083,26,126,37,57.14,24,42,37,+.217,23,+5.00,37,58.46,114,195,37,25.00,2,8
Chris Kirk,19,-.027,-.330,12,19,52.78,19,36,+12.00,19,66.67,2,3,19,"2' 3""",8.833,4,50,19,"8' 9""",131.250,15,50,19,+.818,11,+9.00,19,"8' 9""",227.250,26,50,19,"7' 6""",567.083,76,50,19,16.67,1,6,19,93.33,14,15,19,55.56,20,36,19,36.36,4,11,19,100.00,7,7,19,"6' 4""",44.167,7,50,19,"8' 3""",542.333,66,19,"6' 5""",2.397,31,50,19,+.226,31,+7.00,19,66.67,12,18,19,77.42,24,31,19,"11' 3""",224.667,20,50,19,+.528,36,+19.00,19,71.79,28,39,19,41.18,7,17,19,"6' 7""",229.333,35,50,19,+.706,17,+12.00,19,"4' 11""",68.917,14,50,19,51.85,14,27,19,E,7,E,19,63.30,69,109,19,.00,0,1
Russell Knox,49,-.027,-.949,35,49,56.76,42,74,+17.00,49,25.00,1,4,49,"2' 1""",27.083,13,35,49,"8' 9""",516.500,59,35,49,+.857,35,+30.00,49,"8' 7""",437.167,51,35,49,"7' 2""","1,370.333",192,35,49,57.89,11,19,49,89.13,41,46,49,62.50,50,80,49,25.71,9,35,49,100.00,20,20,49,"14' 0""",336.917,24,35,49,"7' 2""","1,189.250",166,49,"5' 8""",4.675,69,35,49,+.263,76,+20.00,49,66.67,20,30,49,73.68,56,76,49,"9' 2""",386.083,42,35,49,+.375,80,+30.00,49,60.40,61,101,49,56.25,18,32,49,"6' 3""",506.333,81,35,49,+.438,32,+14.00,49,"3' 2""",141.000,45,35,49,61.40,35,57,49,-.050,20,-1.00,49,64.34,166,258,49,33.33,1,3
Adam Long,56,-.031,-1.222,39,56,42.70,38,89,+39.00,56,.00,0,1,56,"3' 5""",74.750,22,105,56,"8' 10""",593.500,67,105,56,+.857,35,+30.00,56,"14' 1""",632.833,45,105,56,"8' 3""","1,898.333",230,105,56,33.33,6,18,56,97.56,40,41,56,59.30,51,86,56,31.43,11,35,56,96.00,24,25,56,"11' 8""",279.750,24,105,56,"10' 1""","1,973.500",195,56,"6' 3""",7.167,96,105,56,+.435,85,+37.00,56,36.67,11,30,56,56.47,48,85,56,"10' 7""",719.167,68,105,56,+.442,86,+38.00,56,63.55,68,107,56,50.91,28,55,56,"8' 4""",772.500,93,105,56,+.509,55,+28.00,56,"2' 10""",126.917,45,105,56,34.04,16,47,56,E,25,E,56,59.68,188,315,56,.00,0,6
Jimmy Walker,34,-.035,-1.012,29,34,40.51,32,79,+35.00,34,50.00,2,4,34,"2' 4""",29.917,13,210,34,"8' 7""",401.833,47,210,34,+.958,48,+46.00,34,"10' 1""",574.833,57,210,34,"8' 0""","1,364.000",170,210,34,25.00,4,16,34,81.82,18,22,34,54.29,38,70,34,22.92,11,48,34,93.33,14,15,34,"12' 0""",336.750,28,210,34,"8' 6""","1,314.583",154,34,"6' 9""",4.289,53,210,34,+.360,86,+31.00,34,55.00,22,40,34,65.12,56,86,34,"9' 11""",337.083,34,210,34,+.514,70,+36.00,34,51.43,36,70,34,46.43,13,28,34,"7' 4""",635.833,87,210,34,+.571,28,+16.00,34,"2' 7""",54.333,21,210,34,45.90,28,61,34,E,15,E,34,53.21,116,218,34,14.29,1,7
Brendan Steele,40,-.040,-1.272,32,40,54.72,29,53,+22.00,40,71.43,5,7,40,"2' 4""",18.583,8,127,40,"6' 11""",351.167,51,127,40,+.935,31,+29.00,40,"7' 10""",282.417,36,127,40,"6' 7""","1,052.000",159,127,40,55.56,5,9,40,92.50,37,40,40,49.38,40,81,40,22.58,7,31,40,100.00,10,10,40,"13' 2""",263.667,20,127,40,"8' 8""","1,334.750",154,40,"6' 3""",4.798,64,127,40,+.395,81,+32.00,40,56.00,14,25,40,65.43,53,81,40,"7' 1""",183.333,26,127,40,+.556,81,+45.00,40,65.00,52,80,40,54.17,13,24,40,"6' 1""",474.750,78,127,40,+.500,24,+12.00,40,"3' 9""",130.250,35,127,40,54.17,26,48,40,-.100,10,-1.00,40,58.45,128,219,40,50.00,1,2
Chesson Hadley,42,-.045,-1.340,30,42,42.67,32,75,+28.00,42,25.00,1,4,42,"2' 4""",25.833,11,218,42,"11' 4""",578.083,51,218,42,+1.080,25,+27.00,42,"9' 0""",431.667,48,218,42,"8' 8""","1,523.333",175,218,42,47.62,10,21,42,78.57,22,28,42,45.90,28,61,42,28.00,7,25,42,82.35,14,17,42,"12' 9""",280.333,22,218,42,"10' 7""","1,442.083",136,42,"7' 6""",5.853,65,218,42,+.365,63,+23.00,42,47.83,11,23,42,60.32,38,63,42,"10' 10""",540.167,50,218,42,+.656,61,+40.00,42,60.26,47,78,42,40.00,14,35,42,"8' 1""",567.667,70,218,42,+.714,35,+25.00,42,"4' 1""",135.167,33,218,42,34.15,14,41,42,E,17,E,42,51.14,112,219,42,40.00,2,5
Rafa Cabrera Bello,29,-.048,-.718,15,29,44.26,27,61,+24.00,29,50.00,1,2,29,"3' 0""",27.333,9,48,29,"7' 9""",326.750,42,48,29,+.538,13,+7.00,29,"10' 6""",251.750,24,48,29,"7' 2""",749.583,105,48,29,16.67,1,6,29,94.44,17,18,29,71.43,30,42,29,61.54,8,13,29,100.00,11,11,29,"13' 2""",157.833,12,48,29,"8' 4""",805.750,97,29,"4' 10""",1.725,30,48,29,+.269,52,+14.00,29,57.89,11,19,29,73.08,38,52,29,"10' 4""",237.417,23,48,29,+.286,42,+12.00,29,65.79,25,38,29,52.38,11,21,29,"5' 9""",309.167,54,48,29,+.476,21,+10.00,29,"2' 10""",45.167,16,48,29,53.33,16,30,29,E,11,E,29,63.35,121,191,29,40.00,2,5
Joseph Bramlett,41,-.053,-1.421,27,41,46.77,29,62,+27.00,41,66.67,2,3,41,"2' 7""",44.417,17,203,41,"6' 4""",330.167,52,203,41,+1.067,30,+32.00,41,"9' 3""",361.917,39,203,41,"6' 8""","1,013.000",152,203,41,53.33,8,15,41,81.82,27,33,41,56.47,48,85,41,16.67,5,30,41,95.24,20,21,41,"11' 4""",158.333,14,203,41,"9' 2""","1,290.167",141,41,"6' 3""",3.318,44,203,41,+.375,64,+24.00,41,50.00,12,24,41,64.06,41,64,41,"7' 8""",276.250,36,203,41,+.482,85,+41.00,41,45.71,32,70,41,51.52,17,33,41,"6' 3""",405.000,65,203,41,+.485,33,+16.00,41,"4' 8""",173.417,37,203,41,44.90,22,49,41,E,21,E,41,53.74,122,227,41,.00,0,3
Adam Schenk,50,-.053,-1.645,31,50,50.00,39,78,+19.00,50,75.00,3,4,50,"2' 9""",46.750,17,4,50,"8' 9""",525.667,60,4,50,+.789,19,+15.00,50,"9' 2""",339.167,37,4,50,"7' 3""","1,382.417",190,4,50,70.00,7,10,50,87.50,42,48,50,65.06,54,83,50,36.84,7,19,50,96.67,29,30,50,"11' 6""",253.250,22,4,50,"7' 10""","1,321.167",168,50,"6' 2""",5.650,76,4,50,+.284,74,+21.00,50,46.15,12,26,50,70.27,52,74,50,"9' 3""",399.333,43,4,50,+.361,83,+30.00,50,66.27,55,83,50,54.29,19,35,50,"7' 2""",547.417,76,4,50,+.457,35,+16.00,50,"3' 9""",182.417,49,4,50,66.67,30,45,50,-.067,30,-2.00,50,67.96,193,284,50,20.00,1,5
Jim Furyk,23,-.057,-1.135,20,23,47.37,18,38,+19.00,23,.00,0,1,23,"4' 1""",28.583,7,211,23,"12' 3""",331.167,27,211,23,+.750,12,+9.00,23,"8' 9""",281.000,32,211,23,"8' 6""",806.000,95,211,23,.00,0,6,23,75.00,12,16,23,51.72,15,29,23,33.33,4,12,23,62.50,5,8,23,"12' 1""",157.000,13,211,23,"9' 3""",739.167,80,23,"5' 8""",1.983,29,211,23,+.468,47,+22.00,23,59.09,13,22,23,59.57,28,47,23,"13' 1""",209.083,16,211,23,+.517,29,+15.00,23,59.38,19,32,23,41.67,5,12,23,"6' 7""",335.000,51,211,23,+.667,12,+8.00,23,"7' 0""",104.917,15,211,23,46.43,13,28,23,+.250,8,+2.00,23,53.06,52,98,23,57.14,4,7
Bo Hoag,47,-.061,-1.756,29,47,43.28,29,67,+28.00,47,50.00,1,2,47,"2' 10""",36.917,13,101,47,"8' 6""",424.583,50,101,47,+.765,34,+26.00,47,"7' 11""",325.167,41,101,47,"7' 11""","1,295.167",163,101,47,50.00,10,20,47,88.89,16,18,47,58.62,51,87,47,32.35,11,34,47,90.91,20,22,47,"14' 1""",450.333,32,101,47,"9' 10""","1,252.667",127,47,"8' 7""",6.102,59,101,47,+.344,64,+22.00,47,45.00,9,20,47,67.19,43,64,47,"10' 1""",402.250,40,101,47,+.425,87,+37.00,47,64.84,59,91,47,44.83,13,29,47,"5' 7""",389.167,70,101,47,+.552,29,+16.00,47,"2' 7""",53.417,21,101,47,36.96,17,46,47,+.045,22,+1.00,47,59.76,147,246,47,50.00,3,6
Patton Kizzire,37,-.066,-1.919,29,37,48.33,29,60,+28.00,37,50.00,1,2,37,"2' 9""",47.167,17,182,37,"9' 8""",580.000,60,182,37,+1.020,50,+51.00,37,"11' 2""",513.500,46,182,37,"8' 7""","1,540.500",179,182,37,57.14,8,14,37,90.91,20,22,37,49.44,44,89,37,22.00,11,50,37,100.00,19,19,37,"15' 0""",404.583,27,182,37,"10' 5""","1,620.333",155,37,"7' 2""",4.798,56,182,37,+.333,84,+28.00,37,45.45,15,33,37,65.48,55,84,37,"8' 9""",367.500,42,182,37,+.584,89,+52.00,37,56.57,56,99,37,56.67,17,30,37,"7' 7""",651.583,86,182,37,+.433,30,+13.00,37,"4' 10""",116.833,24,182,37,50.00,19,38,37,-.053,19,-1.00,37,55.65,138,248,37,50.00,2,4
Kevin Chappell,31,-.069,-1.528,22,31,47.27,26,55,+18.00,31,40.00,2,5,31,"1' 8""",18.667,11,139,31,"7' 1""",401.833,57,139,31,+.893,28,+25.00,31,"11' 9""",400.583,34,139,31,"7' 9""","1,108.750",143,139,31,30.00,3,10,31,82.76,24,29,31,56.94,41,72,31,28.57,8,28,31,100.00,17,17,31,"10' 7""",148.250,14,139,31,"8' 8""","1,145.500",132,31,"7' 0""",3.452,41,139,31,+.368,76,+28.00,31,50.00,11,22,31,64.47,49,76,31,"10' 0""",260.667,26,139,31,+.431,72,+31.00,31,54.05,40,74,31,45.00,9,20,31,"8' 0""",617.417,77,139,31,+.600,20,+12.00,31,"3' 2""",82.417,26,139,31,50.00,19,38,31,-.235,17,-4.00,31,57.92,117,202,31,20.00,1,5
Chad Campbell,17,-.069,-.686,10,17,53.13,17,32,+9.00,17,100.00,1,1,17,"1' 9""",7.000,4,79,17,"5' 5""",107.833,20,79,17,+.846,13,+11.00,17,"9' 3""",166.667,18,79,17,"6' 7""",355.667,54,79,17,50.00,4,8,17,100.00,18,18,17,61.11,22,36,17,23.08,3,13,17,88.89,8,9,17,"15' 7""",109.250,7,79,17,"8' 0""",425.750,53,17,"6' 2""",.890,12,79,17,+.364,22,+8.00,17,88.89,8,9,17,68.18,15,22,17,"9' 10""",78.500,8,79,17,+.361,36,+13.00,17,53.57,15,28,17,50.00,4,8,17,"5' 10""",122.167,21,79,17,+.625,8,+5.00,17,"2' 7""",45.750,18,79,17,60.00,15,25,17,+.111,9,+1.00,17,61.22,60,98,17,50.00,1,2
Charley Hoffman,41,-.070,-2.088,30,41,50.63,40,79,+23.00,41,33.33,1,3,41,"3' 7""",74.500,21,213,41,"9' 5""",548.333,58,213,41,+.897,39,+35.00,41,"9' 8""",520.750,54,213,41,"8' 2""","1,612.333",198,213,41,58.33,7,12,41,86.49,32,37,41,44.12,30,68,41,28.21,11,39,41,91.67,22,24,41,"12' 6""",375.500,30,213,41,"9' 3""","1,400.417",152,41,"7' 3""",5.625,65,213,41,+.452,73,+33.00,41,54.55,18,33,41,54.79,40,73,41,"8' 11""",364.833,41,213,41,+.662,68,+45.00,41,51.90,41,79,41,52.17,12,23,41,"7' 7""",689.167,91,213,41,+.565,23,+13.00,41,"5' 1""",182.833,36,213,41,50.00,25,50,41,E,24,E,41,52.70,127,241,41,58.33,7,12
