Name,Score,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Off-the-Tee-AVERAGE,Position,Name + ID,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Aaron Baddeley,0.30545,0.044,0.084,0.739,-0.179,-0.039,-0.599,G,Aaron Baddeley (14696012),14696012,G,6200,Rocket Mortgage Classic,Golf,52.12
Ryan Armour,0.02565,-0.318,-0.546,0.247,-0.132,0.228,0.113,G,Ryan Armour (14695958),14695958,G,6900,Rocket Mortgage Classic,Golf,51.23
Cameron Tringale,0.24945,0.695,0.051,0.156,0.536,0.644,-0.048,G,Cameron Tringale (14695980),14695980,G,6600,Rocket Mortgage Classic,Golf,64.65
Matt Jones,-0.04195,-0.063,-0.083,0.062,-0.297,0.02,0.255,G,Matt Jones (14695984),14695984,G,6500,Rocket Mortgage Classic,Golf,56.82
Michael Kim,-0.3647,-2.585,-0.318,0.242,-0.996,-2.267,-1.513,G,Michael Kim (14696047),14696047,G,6000,Rocket Mortgage Classic,Golf,24.35
Russell Knox,0.1259,0.208,-0.143,0,0.561,0.351,-0.209,G,Russell Knox (14695975),14695975,G,6600,Rocket Mortgage Classic,Golf,53.94
Scott Brown,-0.13035,-0.378,-0.138,0.019,-0.471,-0.24,0.212,G,Scott Brown (14696023),14696023,G,6200,Rocket Mortgage Classic,Golf,45.92
Arjun Atwal,-0.37105,-2.34,-1.47,0.079,-0.495,-0.871,-0.455,G,Arjun Atwal (14696029),14696029,G,6100,Rocket Mortgage Classic,Golf,38
Ben Taylor,-0.0649,-0.26,0.049,-0.15,0.131,-0.31,-0.29,G,Ben Taylor (14696045),14696045,G,6000,Rocket Mortgage Classic,Golf,46.19
Matthew Wolff,-0.2946,-0.17,0.082,-0.51,-0.261,-0.252,0.519,G,Matthew Wolff (14695964),14695964,G,6800,Rocket Mortgage Classic,Golf,54.88
Bill Haas,-0.07155,-1.215,-1.116,0.3,-0.146,-0.099,-0.254,G,Bill Haas (14696019),14696019,G,6200,Rocket Mortgage Classic,Golf,51.91
Luke Donald,0.24605,-0.399,0.171,0.652,-0.08,-0.57,-1.142,G,Luke Donald (14696005),14696005,G,6300,Rocket Mortgage Classic,Golf,51.93
Michael Gligic,-0.1946,-0.379,-0.018,-0.195,-0.34,-0.362,0.174,G,Michael Gligic (14696053),14696053,G,6000,Rocket Mortgage Classic,Golf,42.68
Tyler Duncan,-0.0445,-0.022,-0.107,-0.214,0.297,0.085,0.001,G,Tyler Duncan (14695952),14695952,G,7000,Rocket Mortgage Classic,Golf,56.03
Rory Sabbatini,0.1483,0.405,0.014,0.28,-0.095,0.392,0.207,G,Rory Sabbatini (14695920),14695920,G,8800,Rocket Mortgage Classic,Golf,60.93
Keegan Bradley,0.0869,-0.032,-0.52,0.21,0.108,0.488,0.17,G,Keegan Bradley (14695942),14695942,G,7300,Rocket Mortgage Classic,Golf,53.21
