Name,Scoring Average (Actual)-AVG,Score,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Abraham Ancer,69.23,30.76795,64.52,31.96,59.23,67.31,95.24,51.43,77.97,4,2.16,0.152,0.094,0.76,0.425,0.88
Dustin Johnson,69.95,28.5937,64.31,31.28,60.79,60.53,86.67,58.06,54.55,3.68,2.56,-0.051,-0.216,0.211,0.722,0.418
Byeong Hun An,70.19,27.8682,54.74,33.87,54.56,64.98,87.5,52.13,65.93,3.83,2.2,-0.89,0.534,0.271,0.096,1.07
Kevin Chappell,71.27,26.38255,54.66,32.24,55.26,57.92,100,47.27,56.94,3.7,2.94,-0.018,-0.069,-0.24,-0.164,-0.497
Dylan Frittelli,70.45,28.34155,59.18,30.65,58.13,62.01,91.67,54.26,59.3,3.82,2.73,-0.007,0.249,-0.008,-0.215,-0.066
Tyler Duncan,70.43,28.5322,69.26,24.85,67.06,57.29,96.88,44.44,52.38,3.68,2.51,-0.037,-0.282,0.235,-0.081,-0.209
Scott Harrington,70.98,26.39105,56.18,30.02,58.56,56.27,83.33,56.82,47.06,3.65,2.75,-0.012,0.023,-0.448,0.439,0.014
James Hahn,70.37,27.542,59.67,26.71,63.36,57.23,94.44,43.75,59.52,3.73,2.5,0.219,0.069,0.298,0.072,0.44
Aaron Baddeley,70.31,30.107,61.76,28.44,59.69,63.77,91.67,60,61.04,4,2.21,0.02,0.822,-0.123,-0.483,0.201
Adam Long,70.12,28.52055,65.97,26.79,64.22,59.68,96,42.7,59.3,3.79,2.54,0.136,-0.031,0.437,0.021,0.526
Harold Varner III,69.98,27.83125,61.83,26.52,63.26,60.07,83.33,41.98,64.13,3.87,2.24,-0.111,0.216,0.412,0.527,1.194
Sungjae Im,69.23,31.42575,64.11,24.96,64.66,64.53,92.86,61.54,61.46,4.33,2.22,0.362,0.01,0.464,0.55,1.049
Max Homa,70.48,28.8036,63.49,26.38,63.07,57.62,92.86,56.25,53.52,3.88,2.57,0.257,-0.415,0.33,0.377,0.087
Scottie Scheffler,69.25,28.7128,61.54,29.55,61.26,62.5,86.67,52.17,58.33,4.4,2.33,-0.092,-0.023,0.328,0.663,0.967
Henrik Norlander,70.58,26.8204,67.81,26.19,65.95,52.61,90,43.37,50,3.67,2.73,-0.224,-0.269,-0.021,0.126,-0.164
Ian Poulter,69.77,29.3029,59.72,35.15,52.12,64.94,100,64.58,51.52,3.5,2.64,0.632,0.307,0.417,-0.134,0.542
