player,Bogey Average-EVENTS,Bogey Average-AVERAGE BOGEYS PER ROUND,Bogey Average-TOTAL BOGEYS,Bogey Average-ROUNDS PLAYED,Final Round Performance-EVENTS,Final Round Performance-%,Front 9 Par 4 Scoring Average-ROUNDS,Front 9 Par 4 Scoring Average-AVG,Front 9 Par 4 Scoring Average-TOTAL STROKES,Front 9 Par 4 Scoring Average-TOTAL HOLES,Back 9 Par 4 Scoring Average-ROUNDS,Back 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-TOTAL STROKES,Back 9 Par 4 Scoring Average-TOTAL HOLES,Birdie Average-ROUNDS,Birdie Average-AVG,Birdie Average-# OF BIRDIES,Birdie Average-TOTAL ROUNDS,Scoring Average-ROUNDS,Scoring Average-AVG,Scoring Average-TOTAL STROKES,Scoring Average-TOTAL ADJUSTMENT,Scoring Average-TOTAL ROUNDS,Front 9 Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-TOTAL STROKES,Front 9 Round 1 Scoring Average-TOTAL ROUNDS,Front 9 Par 3 Scoring Average-ROUNDS,Front 9 Par 3 Scoring Average-AVG,Front 9 Par 3 Scoring Average-TOTAL STROKES,Front 9 Par 3 Scoring Average-TOTAL HOLES,Birdie to Bogey Ratio-ROUNDS,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie to Bogey Ratio-TOTAL BIRDIES AND BETTER,Birdie to Bogey Ratio-TOTAL BOGEYS AND WORSE,Back 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-TOTAL STROKES,Back 9 Round 1 Scoring Average-TOTAL ROUNDS,Bogey Avoidance-ROUNDS,Bogey Avoidance-% MAKES BOGEY,Bogey Avoidance-BOGEYS,Bogey Avoidance-HOLES PLAYED,Back 9 Par 3 Scoring Average-ROUNDS,Back 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-TOTAL STROKES,Back 9 Par 3 Scoring Average-TOTAL HOLES,Par 5 Performance-ROUNDS,Par 5 Performance-STATUS,Par 5 Performance-PAR 5 AVG,Par 5 Performance-TOTAL PAR,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,Total Eagles-ROUNDS,Total Eagles-TOTAL,Round 3 Scoring Average-AVG,Round 3 Scoring Average-TOTAL STROKES,Round 3 Scoring Average-TOTAL ROUNDS,Round 2 Scoring Average-AVG,Round 2 Scoring Average-TOTAL STROKES,Round 2 Scoring Average-TOTAL ROUNDS,Par 4 Performance-ROUNDS,Par 4 Performance-STATUS,Par 4 Performance-PAR 4 AVG,Par 4 Performance-TOTAL PAR,Final Round Scoring Average-AVG,Final Round Scoring Average-TOTAL STROKES,Final Round Scoring Average-TOTAL ROUNDS,Back 9 Round 4 Scoring Average-AVG,Back 9 Round 4 Scoring Average-TOTAL STROKES,Back 9 Round 4 Scoring Average-TOTAL ROUNDS,Round 4 Scoring Average-AVG,Round 4 Scoring Average-TOTAL STROKES,Round 4 Scoring Average-TOTAL ROUNDS,Par 4 Scoring Average-ROUNDS,Par 4 Scoring Average-AVG,Par 4 Scoring Average-TOTAL STROKES,Par 4 Scoring Average-TOTAL HOLES,Par Breakers-ROUNDS,Par Breakers-%,Par Breakers-# BIRDIES/EAGLES,Par Breakers-# HOLES,Back 9 Round 2 Scoring Average-AVG,Back 9 Round 2 Scoring Average-TOTAL STROKES,Back 9 Round 2 Scoring Average-TOTAL ROUNDS,Bounce Back-ROUNDS,Bounce Back-%,Birdie or Better Percentage-ROUNDS,Birdie or Better Percentage-%,Birdie or Better Percentage-TOTAL BIRDIES,Birdie or Better Percentage-TOTAL HOLES,Birdie or Better Percentage-GIR RANK,Front 9 Round 3 Scoring Average-AVG,Front 9 Round 3 Scoring Average-TOTAL STROKES,Front 9 Round 3 Scoring Average-TOTAL ROUNDS,Front 9 Round 2 Scoring Average-AVG,Front 9 Round 2 Scoring Average-TOTAL STROKES,Front 9 Round 2 Scoring Average-TOTAL ROUNDS,Scoring Average Before Cut-AVG,Scoring Average Before Cut-TOTAL STROKES,Scoring Average Before Cut-TOTAL ROUNDS,Back 9 Scoring Average-ROUNDS,Back 9 Scoring Average-AVG,Back 9 Scoring Average-TOTAL STROKES,Back 9 Scoring Average-TOTAL HOLES,Par 5 Eagle Leaders-ROUNDS,Par 5 Eagle Leaders-TOTAL,Par 5 Eagle Leaders-TOTAL PAR 5 HOLES,Par 5 Eagle Leaders-TOTAL HOLE OUTS,Round 1 Scoring Average-AVG,Round 1 Scoring Average-TOTAL STROKES,Round 1 Scoring Average-TOTAL ROUNDS,Back 9 Par 5 Scoring Average-ROUNDS,Back 9 Par 5 Scoring Average-AVG,Back 9 Par 5 Scoring Average-TOTAL STROKES,Back 9 Par 5 Scoring Average-TOTAL HOLES,Par 4 Birdie or Better Leaders-ROUNDS,Par 4 Birdie or Better Leaders-%,Par 4 Birdie or Better Leaders-PAR 4 BIRDIES OR BETTER,Par 4 Birdie or Better Leaders-PAR 4 HOLES,Back 9 Round 3 Scoring Average-AVG,Back 9 Round 3 Scoring Average-TOTAL STROKES,Back 9 Round 3 Scoring Average-TOTAL ROUNDS,Par 5 Scoring Average-ROUNDS,Par 5 Scoring Average-AVG,Par 5 Scoring Average-TOTAL STROKES,Par 5 Scoring Average-TOTAL HOLES,Par 3 Scoring Average-ROUNDS,Par 3 Scoring Average-AVG,Par 3 Scoring Average-TOTAL STROKES,Par 3 Scoring Average-TOTAL HOLES,Total Birdies-ROUNDS,Total Birdies-TOTAL,Par 5 Birdie or Better Leaders-ROUNDS,Par 5 Birdie or Better Leaders-%,Par 5 Birdie or Better Leaders-PAR 5 BIRDIES OR BETTER,Par 5 Birdie or Better Leaders-PAR 5 HOLES,Front 9 Round 4 Scoring Average-AVG,Front 9 Round 4 Scoring Average-TOTAL STROKES,Front 9 Round 4 Scoring Average-TOTAL ROUNDS,Par 3 Birdie or Better Leaders-ROUNDS,Par 3 Birdie or Better Leaders-%,Par 3 Birdie or Better Leaders-PAR 3 BIRDIES OR BETTER,Par 3 Birdie or Better Leaders-PAR 3 HOLES,Stroke Differential Field Average-ROUNDS,Stroke Differential Field Average-STROKE DIFFERENTIAL,Stroke Differential Field Average-PLAYER'S SCORE,Stroke Differential Field Average-FIELD AVERAGE SCORE,Eagles (Holes per)-ROUNDS,Eagles (Holes per)-FREQUENCY,Eagles (Holes per)-# OF HOLES,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Scoring Average (Actual)-AVG,Scoring Average (Actual)-TOTAL STROKES,Scoring Average (Actual)-TOTAL ROUNDS,Front 9 Par 5 Scoring Average-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Front 9 Par 5 Scoring Average-TOTAL STROKES,Front 9 Par 5 Scoring Average-TOTAL HOLES,Par 3 Performance-ROUNDS,Par 3 Performance-STATUS,Par 3 Performance-PAR 3 AVG,Par 3 Performance-TOTAL PAR
Ryan Palmer,10,2.61,94,36,10,75.00,36,4.04,808,200,36,3.99,774,194,40,4.18,167,40,40,70.191,"2,788",19.657,40,34.70,347,10,40,3.05,256,84,36,1.47,151,103,35.27,388,11,40,14.86,107,720,36,3.09,210,68,36,-53,4.52,5.50,40,.404,12.517,18.634,-6.115,31,36,3,71.13,569,8,69.00,690,10,36,+6,4.02,15.76,70.13,561,8,34.63,277,8,70.13,561,8,40,4.00,"1,752",438,36,23.30,151,648,34.30,343,10,36,30.61,36,23.30,151,648,77,34.75,278,8,34.55,380,11,69.23,"1,523",22,36,35.14,"1,265",36,36,2,110,0,70.10,701,10,36,4.53,281,62,36,19.04,75,394,36.38,291,8,36,4.52,497,110,40,3.05,488,160,36,148,40,54.10,66,122,35.50,284,8,36,13.89,20,144,36,+.71,70.03,70.74,36,216.0,648,3,40,69.70,"2,788",40,36,4.50,216,48,36,+10,3.07,4.32
Ben Taylor,13,2.61,94,36,13,50.00,36,3.98,760,191,36,4.06,764,188,36,3.53,127,36,36,71.665,"2,546",33.938,36,35.69,464,13,36,3.01,220,73,36,1.28,131,102,35.62,463,13,36,15.74,102,648,36,3.06,220,72,36,-38,4.69,6.20,36,-.260,-5.724,-6.810,1.087,22,36,4,70.67,424,6,70.23,913,13,36,+8,4.02,15.16,70.50,282,4,35.75,143,4,70.50,282,4,36,4.02,"1,524",379,36,20.22,131,648,35.31,459,13,36,19.15,36,20.22,131,648,38,34.33,206,6,34.92,454,13,70.86,"1,984",28,36,35.64,"1,283",36,36,4,124,1,71.31,927,13,36,4.67,299,64,36,16.89,64,379,36.33,218,6,36,4.69,582,124,36,3.03,440,145,36,127,36,37.10,46,124,34.75,139,4,36,14.48,21,145,36,-.25,70.72,70.47,36,162.0,648,4,36,70.72,"2,546",36,36,4.72,283,60,36,+5,3.03,4.35
John Huh,8,2.62,68,26,8,40.00,26,3.92,564,144,26,3.99,527,132,26,4.04,105,26,26,71.130,"1,828",21.391,26,33.88,271,8,26,3.06,159,52,26,1.44,108,75,35.00,280,8,26,16.03,75,468,26,3.06,159,52,26,-21,4.76,4.40,26,.154,3.534,-13.706,17.242,23,26,3,69.60,348,5,71.13,569,8,26,-13,3.95,11.04,72.00,360,5,36.40,182,5,72.00,360,5,26,3.95,"1,091",276,26,23.08,108,468,36.00,288,8,26,28.17,26,23.08,108,468,150,34.40,172,5,35.13,281,8,69.94,"1,189",17,26,35.62,926,26,26,2,88,0,68.88,551,8,26,4.80,240,50,26,23.19,64,276,35.20,176,5,26,4.76,419,88,26,3.06,318,104,26,105,26,35.23,31,88,35.60,178,5,26,12.50,13,104,26,+.25,70.31,70.56,26,156.0,468,3,26,70.31,"1,828",26,26,4.71,179,38,26,+6,3.06,3.12
Kramer Hickok,14,2.62,102,39,14,60.00,39,4.07,870,214,39,4.03,858,213,39,3.10,121,39,39,71.466,"2,764",23.163,39,35.64,499,14,39,3.00,237,79,39,1.11,124,112,35.07,491,14,39,15.95,112,702,39,3.19,249,78,39,-40,4.66,5.90,39,-.465,-12.078,-1.917,-10.160,26,39,3,68.83,413,6,72.29,"1,012",14,39,+20,4.05,17.08,69.80,349,5,35.40,177,5,69.80,349,5,39,4.05,"1,728",427,39,17.66,124,702,36.79,515,14,39,17.59,39,17.66,124,702,188,33.83,203,6,35.50,497,14,71.48,"2,073",29,39,35.72,"1,393",39,39,3,118,1,70.71,990,14,39,4.77,286,60,39,14.29,61,427,35.00,210,6,39,4.66,550,118,39,3.10,486,157,39,121,39,40.68,48,118,34.40,172,5,39,9.55,15,157,39,-.46,70.87,70.41,39,234.0,702,3,39,70.87,"2,764",39,39,4.55,264,58,39,+15,3.10,4.71
Wyndham Clark,14,2.63,113,43,14,42.86,43,4.13,954,231,43,4.06,902,222,47,3.94,185,47,47,71.201,"3,330",16.444,47,34.36,481,14,47,3.09,306,99,43,1.25,170,136,35.40,531,15,47,17.85,151,846,43,3.05,262,86,43,-66,4.54,7.20,47,-.142,-4.552,-20.866,16.316,32,43,6,72.00,576,8,71.21,997,14,43,+44,4.10,18.12,71.71,502,7,35.29,247,7,71.71,502,7,47,4.09,"2,032",497,43,21.96,170,774,35.00,490,14,43,22.31,43,21.96,170,774,189,36.00,288,8,35.93,539,15,70.22,"2,247",32,43,35.35,"1,520",43,43,5,144,1,69.71,976,14,43,4.51,356,79,43,14.35,65,453,36.00,288,8,43,4.54,654,144,47,3.08,594,193,43,164,47,55.77,87,156,36.43,255,7,43,15.82,28,177,43,+.09,70.95,71.04,43,129.0,774,6,47,70.85,"3,330",47,43,4.58,298,65,43,+10,3.06,5.31
Vincent Whaley,11,2.63,79,30,11,80.00,30,4.06,653,161,30,4.04,631,156,30,3.90,117,30,30,71.370,"2,122",19.109,30,35.70,357,10,30,2.97,181,61,30,1.32,119,90,36.20,362,10,30,16.67,90,540,30,3.07,184,60,30,-37,4.64,5.10,30,-.591,-11.829,-14.058,2.229,20,30,2,68.80,344,5,71.00,710,10,30,+16,4.05,12.68,69.80,349,5,35.00,175,5,69.80,349,5,30,4.05,"1,284",317,30,22.04,119,540,35.80,358,10,30,16.87,30,22.04,119,540,135,34.80,174,5,35.20,352,10,71.05,"1,563",22,30,35.50,"1,065",30,30,2,102,0,71.90,719,10,30,4.63,250,54,30,17.67,56,317,34.00,170,5,30,4.64,473,102,30,3.02,365,121,30,117,30,47.06,48,102,34.80,174,5,30,12.40,15,121,30,E,70.73,70.73,30,270.0,540,2,30,70.73,"2,122",30,30,4.65,223,48,30,+2,3.02,3.63
Sergio Garcia,6,2.64,58,22,6,40.00,22,4.00,480,120,22,4.03,451,112,26,3.96,103,26,26,70.868,"1,824",18.573,26,35.50,213,6,26,3.16,177,56,22,1.18,77,65,35.71,250,7,26,15.60,73,468,22,3.14,138,44,22,-22,4.69,3.60,26,.952,13.333,23.537,-10.204,14,22,1,71.00,355,5,70.17,421,6,22,+3,4.01,9.28,71.00,355,5,35.40,177,5,71.00,355,5,26,3.98,"1,099",276,22,19.44,77,396,35.00,210,6,22,22.03,22,19.44,77,396,94,34.20,171,5,34.86,244,7,70.29,984,14,22,35.73,786,22,22,1,72,0,71.33,428,6,22,4.69,197,42,22,15.95,37,232,36.80,184,5,22,4.69,338,72,26,3.11,336,108,22,76,26,48.81,41,84,35.60,178,5,22,8.70,8,92,22,-.24,70.86,70.62,22,396.0,396,1,26,70.15,"1,824",26,22,4.70,141,30,22,+14,3.15,2.76
Ian Poulter,6,2.64,58,22,6,60.00,22,4.08,482,118,22,3.99,471,118,26,3.50,91,26,26,69.827,"1,814",1.492,26,35.00,210,6,26,3.14,176,56,22,1.20,72,60,34.14,239,7,26,14.74,69,468,22,2.89,127,44,22,-26,4.62,3.40,26,1.338,21.407,11.288,10.119,16,22,4,68.60,343,5,72.33,434,6,22,+9,4.04,9.44,70.20,351,5,34.80,174,5,70.20,351,5,26,4.01,"1,122",280,22,18.18,72,396,35.33,212,6,22,21.05,22,18.18,72,396,220,35.40,177,5,36.29,254,7,70.36,985,14,22,34.55,760,22,22,3,68,0,69.67,418,6,22,4.50,162,36,22,15.68,37,236,33.20,166,5,22,4.62,314,68,26,3.04,328,108,22,68,26,43.75,35,80,35.40,177,5,22,9.78,9,92,22,+.95,70.27,71.22,22,99.0,396,4,26,69.77,"1,814",26,22,4.75,152,32,22,+3,3.03,2.76
Rickie Fowler,7,2.64,58,22,7,75.00,22,4.04,477,118,22,4.02,474,118,24,3.75,90,24,24,70.619,"1,690",4.857,24,35.14,246,7,24,2.90,139,48,22,1.44,88,61,36.13,289,8,24,15.05,65,432,22,3.00,120,40,22,-27,4.64,3.80,24,.581,12.205,6.743,5.462,21,22,3,72.50,290,4,68.00,476,7,22,+7,4.03,9.44,70.75,283,4,35.00,140,4,70.75,283,4,24,4.03,"1,039",258,22,22.22,88,396,33.57,235,7,22,23.73,22,22.22,88,396,113,36.75,147,4,34.88,279,8,69.82,"1,187",17,22,35.18,774,22,22,3,76,0,71.71,502,7,22,4.50,180,40,22,15.68,37,236,35.75,143,4,22,4.64,353,76,24,2.93,270,92,22,85,24,43.90,36,82,35.75,143,4,22,20.24,17,84,22,+1.05,70.50,71.55,22,132.0,396,3,24,70.42,"1,690",24,22,4.81,173,36,22,-5,2.94,2.52
Chesson Hadley,13,2.64,111,42,13,37.50,42,4.06,930,229,42,4.03,886,220,46,4.28,197,46,46,71.254,"3,236",41.694,46,36.15,470,13,46,3.05,284,93,42,1.39,183,132,36.43,510,14,46,17.39,144,828,42,3.04,255,84,42,-58,4.58,6.90,46,.358,12.185,19.137,-6.950,34,42,5,68.00,544,8,69.69,906,13,42,+20,4.04,17.96,70.38,563,8,35.50,284,8,70.38,563,8,46,4.03,"1,985",493,42,24.21,183,756,34.46,448,13,42,21.26,42,24.21,183,756,15,34.50,276,8,35.14,492,14,70.83,"2,125",30,42,35.17,"1,477",42,42,5,138,1,72.85,947,13,42,4.54,336,74,42,20.49,92,449,33.50,268,8,42,4.58,632,138,46,3.05,564,185,42,178,46,45.33,68,150,34.88,279,8,42,16.57,28,169,42,-.02,70.48,70.46,42,151.2,756,5,46,70.35,"3,236",46,42,4.63,296,64,42,+5,3.03,5.07
Josh Teater,11,2.66,77,29,11,66.67,29,4.05,623,154,29,4.02,615,153,29,3.93,114,29,29,71.437,"2,048",23.673,29,35.82,394,11,29,3.10,183,59,29,1.33,121,91,35.18,387,11,29,17.43,91,522,29,3.10,180,58,29,-43,4.56,4.90,29,-1.357,-20.361,-4.599,-15.762,15,29,7,69.75,279,4,70.91,780,11,29,+10,4.03,12.28,69.33,208,3,34.67,104,3,69.33,208,3,29,4.03,"1,238",307,29,23.18,121,522,35.73,393,11,29,20.24,29,23.18,121,522,23,34.50,138,4,35.18,387,11,71.13,"1,707",24,29,35.34,"1,025",29,29,7,98,3,71.00,781,11,29,4.60,230,50,29,19.87,61,307,35.25,141,4,29,4.56,447,98,29,3.10,363,117,29,114,29,45.92,45,98,34.67,104,3,29,12.82,15,117,29,-.09,70.62,70.53,29,74.6,522,7,29,70.62,"2,048",29,29,4.52,217,48,29,+12,3.10,3.51
Kevin Streelman,15,2.67,115,43,15,50.00,43,4.01,923,230,43,4.03,899,223,45,3.82,172,45,45,71.146,"3,176",25.566,45,34.87,523,15,45,3.23,307,95,43,1.32,171,130,35.38,566,16,45,16.67,135,810,43,3.20,275,86,43,-76,4.47,7.20,45,.204,5.915,8.225,-2.309,29,43,7,69.86,489,7,71.40,"1,071",15,43,+10,4.02,18.12,70.50,423,6,34.67,208,6,70.50,423,6,45,4.01,"1,907",475,43,22.09,171,774,35.67,535,15,43,20.83,43,22.09,171,774,72,34.71,243,7,35.69,571,16,70.68,"2,403",34,43,35.33,"1,519",43,43,6,144,1,70.20,"1,053",15,43,4.42,345,78,43,16.56,75,453,35.14,246,7,43,4.47,644,144,45,3.21,594,185,43,164,45,52.00,78,150,35.83,215,6,43,10.73,19,177,43,+.11,70.60,70.71,43,110.6,774,7,45,70.58,"3,176",45,43,4.53,299,66,43,+39,3.22,5.31
Sangmoon Bae,7,2.67,48,18,7,50.00,18,4.05,385,95,18,4.07,387,95,18,3.33,60,18,18,72.734,"1,291",18.212,18,35.57,249,7,18,3.31,119,36,18,1.07,63,59,36.71,257,7,18,18.21,59,324,18,3.28,118,36,18,-28,4.55,3.10,18,-1.769,-15.924,-15.449,-.476,9,18,3,70.50,141,2,71.57,501,7,18,+12,4.06,7.60,71.50,143,2,35.50,71,2,71.50,143,2,18,4.06,772,190,18,19.44,63,324,35.29,247,7,18,26.32,18,19.44,63,324,190,35.00,70,2,36.29,254,7,71.93,"1,007",14,18,35.89,646,18,18,3,62,2,72.29,506,7,18,4.55,141,31,18,15.26,29,190,35.50,71,2,18,4.55,282,62,18,3.29,237,72,18,60,18,50.00,31,62,36.00,72,2,18,4.17,3,72,18,-1.29,71.72,70.43,18,108.0,324,3,18,71.72,"1,291",18,18,4.55,141,31,18,+21,3.29,2.16
Wes Roach,11,2.67,96,36,11,42.86,36,4.11,776,189,36,3.97,762,192,36,3.75,135,36,36,71.428,"2,543",28.423,36,35.09,386,11,36,2.97,217,73,36,1.31,142,108,34.73,382,11,36,16.67,108,648,36,3.15,227,72,36,-49,4.60,6.10,36,-.920,-16.557,-5.358,-11.199,18,36,7,69.57,487,7,70.73,778,11,36,+14,4.04,15.24,72.86,510,7,35.71,250,7,72.86,510,7,36,4.04,"1,538",381,36,21.91,142,648,35.27,388,11,36,29.00,36,21.91,142,648,87,34.57,242,7,35.45,390,11,70.21,"1,685",24,36,35.14,"1,265",36,36,7,122,1,69.82,768,11,36,4.60,276,60,36,17.85,68,381,35.00,245,7,36,4.60,561,122,36,3.06,444,145,36,135,36,41.80,51,122,37.14,260,7,36,15.86,23,145,36,-.07,70.64,70.57,36,92.6,648,7,36,70.64,"2,543",36,36,4.60,285,62,36,+9,3.06,4.35
Chase Seiffert,13,2.68,118,44,13,55.56,44,3.98,927,233,44,4.12,973,236,44,3.59,158,44,44,71.167,"3,102",29.358,44,34.54,449,13,44,2.98,265,89,44,1.30,166,128,34.77,452,13,44,16.16,128,792,44,3.02,266,88,44,-59,4.60,7.30,44,.199,5.171,-2.895,8.067,26,44,8,71.22,641,9,70.77,920,13,44,+24,4.05,18.76,71.11,640,9,36.00,324,9,71.11,640,9,44,4.05,"1,900",469,44,20.96,166,792,35.77,465,13,44,23.02,44,20.96,166,792,85,34.89,314,9,35.00,455,13,69.89,"1,957",28,44,35.64,"1,568",44,44,7,146,1,69.31,901,13,44,4.57,329,72,44,16.84,79,469,36.33,327,9,44,4.60,671,146,44,3.00,531,177,44,158,44,44.52,65,146,35.11,316,9,44,12.43,22,177,44,+.13,70.50,70.63,44,99.0,792,8,44,70.50,"3,102",44,44,4.62,342,74,44,E,3.00,5.31
Matthew Wolff,11,2.68,107,40,11,44.44,40,4.06,878,216,40,4.03,855,212,42,3.52,148,42,42,71.493,"2,986",16.709,42,35.09,386,11,42,3.10,273,88,40,1.18,144,122,35.92,431,12,42,16.80,127,756,40,3.13,238,76,40,-48,4.64,6.60,42,-.195,-6.034,-6.705,.673,31,40,3,72.22,650,9,70.73,778,11,40,+21,4.05,17.12,70.78,637,9,35.56,320,9,70.78,637,9,42,4.05,"1,822",450,40,20.00,144,720,34.91,384,11,40,25.44,40,20.00,144,720,170,35.78,322,9,35.75,429,12,70.80,"1,770",25,40,35.65,"1,426",40,40,3,132,1,70.91,780,11,40,4.63,333,72,40,15.89,68,428,36.44,328,9,40,4.64,612,132,42,3.11,522,168,40,141,42,47.10,65,138,35.22,317,9,40,8.13,13,160,40,-.17,71.13,70.96,40,240.0,720,3,42,71.10,"2,986",42,40,4.65,279,60,40,+20,3.13,4.80
Michael Gligic,13,2.69,97,36,13,60.00,36,3.99,755,189,36,4.12,783,190,38,3.42,130,38,38,72.015,"2,712",24.557,38,35.00,455,13,38,3.14,242,77,36,1.14,128,112,36.21,507,14,38,17.40,119,684,36,3.24,233,72,36,-50,4.60,6.20,38,-.379,-9.102,-8.676,-.425,24,36,4,71.20,356,5,71.77,933,13,36,+22,4.06,15.16,70.80,354,5,36.20,181,5,70.80,354,5,38,4.06,"1,628",401,36,19.75,128,648,36.38,473,13,36,18.52,36,19.75,128,648,172,35.40,177,5,35.14,492,14,71.37,"2,141",30,36,36.25,"1,305",36,36,3,124,0,71.31,927,13,36,4.66,289,62,36,15.30,58,379,35.80,179,5,36,4.60,570,124,38,3.20,489,153,36,124,38,45.38,59,130,34.60,173,5,36,10.34,15,145,36,-.57,71.39,70.82,36,162.0,648,4,38,71.37,"2,712",38,36,4.53,281,62,36,+27,3.19,4.35
Matt Jones,15,2.70,135,50,15,45.45,50,4.02,"1,130",281,50,4.07,"1,091",268,54,3.69,199,54,54,70.630,"3,795",19.019,54,35.33,530,15,54,3.04,331,109,50,1.26,187,149,35.88,574,16,54,16.36,159,972,50,3.14,314,100,50,-69,4.54,7.50,54,.091,3.813,9.478,-5.663,42,50,7,70.27,773,11,68.85,895,13,50,+25,4.05,21.96,71.00,781,11,35.73,393,11,71.00,781,11,54,4.04,"2,395",593,50,20.78,187,900,35.08,456,13,50,20.00,50,20.78,187,900,132,34.91,384,11,33.93,475,14,69.97,"2,169",31,50,35.58,"1,779",50,50,7,150,3,71.40,"1,071",15,50,4.56,374,82,50,15.30,84,549,35.36,389,11,50,4.54,681,150,54,3.08,669,217,50,180,54,52.47,85,162,35.27,388,11,50,13.93,28,201,50,+.36,70.40,70.76,50,128.6,900,7,54,70.28,"3,795",54,50,4.51,307,68,50,+15,3.07,6.03
Cameron Davis,13,2.70,108,40,13,85.71,40,4.05,870,215,40,4.06,860,212,40,3.73,149,40,40,71.060,"2,825",17.406,40,36.23,471,13,40,3.06,248,81,40,1.30,156,120,35.85,466,13,40,16.67,120,720,40,3.04,243,80,40,-56,4.58,6.60,40,.158,4.433,15.980,-11.546,28,40,7,70.71,495,7,69.46,903,13,40,+22,4.05,17.08,70.00,490,7,35.29,247,7,70.00,490,7,40,4.05,"1,730",427,40,21.67,156,720,34.92,454,13,40,18.58,40,21.67,156,720,77,34.86,244,7,34.54,449,13,70.75,"1,981",28,40,35.45,"1,418",40,40,6,132,2,72.08,937,13,40,4.63,315,68,40,17.10,73,427,35.86,251,7,40,4.58,604,132,40,3.05,491,161,40,149,40,46.97,62,132,34.71,243,7,40,13.04,21,161,40,+.21,70.63,70.84,40,102.9,720,7,40,70.63,"2,825",40,40,4.52,289,64,40,+8,3.05,4.83
Tyler McCumber,14,2.71,122,45,14,44.44,45,3.96,958,242,45,4.10,975,238,45,3.89,175,45,45,71.260,"3,179",27.688,45,34.79,487,14,45,3.09,281,91,45,1.30,178,137,36.07,505,14,45,16.91,137,810,45,3.04,274,90,45,-54,4.64,7.45,45,-.185,-5.558,12.764,-18.321,30,45,3,69.56,626,9,70.00,910,13,45,+13,4.03,19.20,72.33,651,9,37.00,333,9,72.33,651,9,45,4.03,"1,933",480,45,21.98,178,810,35.69,464,13,45,19.53,45,21.98,178,810,100,35.33,318,9,34.31,446,13,70.34,"2,040",29,45,35.78,"1,610",45,45,3,149,0,70.86,992,14,45,4.69,361,77,45,17.08,82,480,34.22,308,9,45,4.64,691,149,45,3.07,555,181,45,175,45,46.98,70,149,35.33,318,9,45,14.36,26,181,45,+.03,70.64,70.67,45,270.0,810,3,45,70.64,"3,179",45,45,4.58,330,72,45,+12,3.07,5.43
Louis Oosthuizen,5,2.72,49,18,5,25.00,18,4.03,403,100,18,3.96,380,96,20,3.40,68,20,20,70.917,"1,411",7.349,20,34.40,172,5,20,3.09,136,44,18,1.20,66,55,35.33,212,6,20,17.22,62,360,18,3.14,113,36,18,-12,4.77,2.60,20,-1.423,-17.080,-19.319,2.239,12,18,2,70.25,281,4,70.60,353,5,18,-1,3.99,7.84,70.75,283,4,36.00,144,4,70.75,283,4,20,4.01,874,218,18,20.37,66,324,35.20,176,5,18,18.87,18,20.37,66,324,137,35.25,141,4,35.33,212,6,70.58,847,12,18,35.33,636,18,18,1,52,0,69.60,348,5,18,4.77,143,30,18,19.39,38,196,35.00,140,4,18,4.77,248,52,20,3.12,262,84,18,64,20,39.66,23,58,34.75,139,4,18,11.84,9,76,18,+.14,70.28,70.42,18,162.0,324,2,20,70.55,"1,411",20,18,4.77,105,22,18,+6,3.08,2.28
Seamus Power,7,2.73,60,22,7,100.00,22,4.06,467,115,22,4.03,459,114,22,4.36,96,22,22,71.212,"1,549",17.660,22,35.00,245,7,22,3.00,135,45,22,1.42,101,71,35.00,245,7,22,17.93,71,396,22,2.95,130,44,22,-32,4.59,3.90,22,.051,.556,-2.349,2.904,11,22,5,71.50,286,4,70.43,493,7,22,+10,4.04,9.16,70.00,280,4,35.75,143,4,70.00,280,4,22,4.04,926,229,22,25.51,101,396,35.00,245,7,22,18.84,22,25.51,101,396,94,36.00,144,4,35.43,248,7,70.27,"1,054",15,22,35.23,775,22,22,5,78,1,70.00,490,7,22,4.65,186,40,22,18.34,42,229,35.50,142,4,22,4.59,358,78,22,2.98,265,89,22,96,22,48.72,38,78,34.25,137,4,22,23.60,21,89,22,+.29,70.41,70.70,22,79.2,396,5,22,70.41,"1,549",22,22,4.53,172,38,22,-2,2.98,2.67
